"Step","faster_r-cnn_mobileNet_train_GTSDB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_train_GTSDB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_train_GTSDB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_mobileNet_train_GTSDB_10Epochs - AR_IoU=0.50:0.95_maxDets=100","faster_r-cnn_mobileNet_train_GTSDB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MIN","faster_r-cnn_mobileNet_train_GTSDB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MAX","faster_r-cnn_mobileNet_COCO-transfer_GTSDB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_COCO-transfer_GTSDB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_COCO-transfer_GTSDB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_mobileNet_COCO-transfer_GTSDB_10Epochs - AR_IoU=0.50:0.95_maxDets=100","faster_r-cnn_mobileNet_COCO-transfer_GTSDB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MIN","faster_r-cnn_mobileNet_COCO-transfer_GTSDB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MAX","faster_r-cnn_mobileNet_random-init_GTSRB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_random-init_GTSRB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_random-init_GTSRB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_mobileNet_random-init_GTSRB_10Epochs - AR_IoU=0.50:0.95_maxDets=100","faster_r-cnn_mobileNet_random-init_GTSRB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MIN","faster_r-cnn_mobileNet_random-init_GTSRB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MAX","faster_r-cnn_mobileNet_random-init_GTSDB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_random-init_GTSDB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_random-init_GTSDB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_mobileNet_random-init_GTSDB_10Epochs - AR_IoU=0.50:0.95_maxDets=100","faster_r-cnn_mobileNet_random-init_GTSDB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MIN","faster_r-cnn_mobileNet_random-init_GTSDB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MAX","faster_r-cnn_mobileNet_COCO-transfer_GTSRB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_COCO-transfer_GTSRB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_COCO-transfer_GTSRB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_mobileNet_COCO-transfer_GTSRB_10Epochs - AR_IoU=0.50:0.95_maxDets=100","faster_r-cnn_mobileNet_COCO-transfer_GTSRB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MIN","faster_r-cnn_mobileNet_COCO-transfer_GTSRB_10Epochs - AR_IoU=0.50:0.95_maxDets=100__MAX"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0.959061906492716","0.959061906492716","0.959061906492716","0.8353436245821736","0.8353436245821736","0.8353436245821736","0","0","0","0","0","0","0.945567759006636","0.945567759006636","0.945567759006636","0.8531666334545506","0.8531666334545506","0.8531666334545506"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0.9999734119133764","0.9999734119133764","0.9999734119133764","0.8501370118422191","0.8501370118422191","0.8501370118422191","0","0","0","0","0","0","0.9995128067801509","0.9995128067801509","0.9995128067801509","0.8583896288765348","0.8583896288765348","0.8583896288765348"
"5","0","0","0","0","0","0","0.024542826491085835","0.024542826491085835","0.024542826491085835","0.015918458781362006","0.015918458781362006","0.015918458781362006","1","1","1","0.867676713256971","0.867676713256971","0.867676713256971","0","0","0","0","0","0","1","1","1","0.8695966952214171","0.8695966952214171","0.8695966952214171"
"7","0","0","0","0","0","0","0.029565827124527252","0.029565827124527252","0.029565827124527252","0.022329749103942653","0.022329749103942653","0.022329749103942653","1","1","1","0.9616302313226227","0.9616302313226227","0.9616302313226227","0","0","0","0","0","0","1","1","1","0.9620201497384764","0.9620201497384764","0.9620201497384764"
"9","0","0","0","0","0","0","0.04160176209042386","0.04160176209042386","0.04160176209042386","0.03474910394265233","0.03474910394265233","0.03474910394265233","1","1","1","0.9641397526536304","0.9641397526536304","0.9641397526536304","0","0","0","0","0","0","1","1","1","0.9648102543030501","0.9648102543030501","0.9648102543030501"
"11","0","0","0","0","0","0","0.07040040090115685","0.07040040090115685","0.07040040090115685","0.05960247637666992","0.05960247637666992","0.05960247637666992","1","1","1","0.9652781357456535","0.9652781357456535","0.9652781357456535","0","0","0","0","0","0","1","1","1","0.9663487956469251","0.9663487956469251","0.9663487956469251"
"13","0","0","0","0","0","0","0.07075964894063598","0.07075964894063598","0.07075964894063598","0.06014011078527207","0.06014011078527207","0.06014011078527207","1","1","1","0.9725467354790661","0.9725467354790661","0.9725467354790661","0","0","0","0","0","0","1","1","1","0.9726503951474882","0.9726503951474882","0.9726503951474882"
"15","0","0","0","0","0","0","0.07042185155082602","0.07042185155082602","0.07042185155082602","0.06081215379602476","0.06081215379602476","0.06081215379602476","1","1","1","0.9728004846106969","0.9728004846106969","0.9728004846106969","0","0","0","0","0","0","1","1","1","0.9727791629400073","0.9727791629400073","0.9727791629400073"
"17","0","0","0","0","0","0","0.07013264347013788","0.07013264347013788","0.07013264347013788","0.06136898943350556","0.06136898943350556","0.06136898943350556","1","1","1","0.9731131028064547","0.9731131028064547","0.9731131028064547","0","0","0","0","0","0","1","1","1","0.9730387458476437","0.9730387458476437","0.9730387458476437"
"19","0","0","0","0","0","0","0.07013264347013788","0.07013264347013788","0.07013264347013788","0.06136898943350556","0.06136898943350556","0.06136898943350556","1","1","1","0.9729769906562373","0.9729769906562373","0.9729769906562373","0","0","0","0","0","0","1","1","1","0.9727172926463118","0.9727172926463118","0.9727172926463118"
