"Step","faster_r-cnn_mobileNet_train_GTSDB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_train_GTSDB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_train_GTSDB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_mobileNet_COCO-transfer_GTSDB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_COCO-transfer_GTSDB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_COCO-transfer_GTSDB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_mobileNet_random-init_GTSRB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_random-init_GTSRB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_random-init_GTSRB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_mobileNet_random-init_GTSDB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_random-init_GTSDB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_random-init_GTSDB_10Epochs - AP_IoU=0.50__MAX","faster_r-cnn_mobileNet_COCO-transfer_GTSRB_10Epochs - AP_IoU=0.50","faster_r-cnn_mobileNet_COCO-transfer_GTSRB_10Epochs - AP_IoU=0.50__MIN","faster_r-cnn_mobileNet_COCO-transfer_GTSRB_10Epochs - AP_IoU=0.50__MAX"
"1","0","0","0","0","0","0","0.959061906492716","0.959061906492716","0.959061906492716","0","0","0","0.945567759006636","0.945567759006636","0.945567759006636"
"3","0","0","0","0","0","0","0.9999734119133764","0.9999734119133764","0.9999734119133764","0","0","0","0.9995128067801509","0.9995128067801509","0.9995128067801509"
"5","0","0","0","0.024542826491085835","0.024542826491085835","0.024542826491085835","1","1","1","0","0","0","1","1","1"
"7","0","0","0","0.029565827124527252","0.029565827124527252","0.029565827124527252","1","1","1","0","0","0","1","1","1"
"9","0","0","0","0.04160176209042386","0.04160176209042386","0.04160176209042386","1","1","1","0","0","0","1","1","1"
"11","0","0","0","0.07040040090115685","0.07040040090115685","0.07040040090115685","1","1","1","0","0","0","1","1","1"
"13","0","0","0","0.07075964894063598","0.07075964894063598","0.07075964894063598","1","1","1","0","0","0","1","1","1"
"15","0","0","0","0.07042185155082602","0.07042185155082602","0.07042185155082602","1","1","1","0","0","0","1","1","1"
"17","0","0","0","0.07013264347013788","0.07013264347013788","0.07013264347013788","1","1","1","0","0","0","1","1","1"
"19","0","0","0","0.07013264347013788","0.07013264347013788","0.07013264347013788","1","1","1","0","0","0","1","1","1"
