               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0483,            0.016159,            0.086413,             0.59448,             0.27245,            0.090588,            0.077785,            0.025235,           0.0031491,            0.030365,             0.00196,             0.00196,             0.08236
                   1,            0.030615,            0.010185,            0.072455,             0.74354,             0.28411,             0.23218,             0.17877,            0.015259,           0.0025839,            0.021559,           0.0038434,           0.0038434,            0.064543
                   2,            0.024417,           0.0088538,            0.059729,             0.60287,             0.51993,             0.48753,             0.40791,            0.010419,           0.0026526,            0.013857,           0.0053929,           0.0053929,            0.046393
                   3,            0.020148,           0.0079894,            0.050618,             0.59471,             0.72916,             0.66256,             0.65231,            0.010038,           0.0037211,           0.0092453,           0.0064101,           0.0064101,             0.02771
                   4,            0.015809,           0.0072395,            0.045591,             0.72761,             0.82671,             0.76881,             0.66806,           0.0094705,           0.0040929,           0.0086576,           0.0067803,           0.0067803,           0.0083803
                   5,            0.012979,           0.0065696,             0.04248,             0.77024,             0.83182,             0.83469,             0.80846,           0.0048681,           0.0040167,           0.0069446,              0.0055,              0.0055,              0.0055
                   6,            0.012202,           0.0063245,            0.040181,             0.80261,             0.87678,             0.87206,             0.81139,           0.0061502,           0.0030896,           0.0058527,              0.0055,              0.0055,              0.0055
                   7,            0.010329,           0.0058228,            0.037411,             0.88764,             0.95072,             0.90877,             0.85928,           0.0051465,           0.0028118,           0.0035324,           0.0041094,           0.0041094,           0.0041094
                   8,           0.0090218,           0.0054677,            0.034768,             0.89157,             0.94539,             0.91191,             0.84196,           0.0050391,           0.0031481,           0.0030584,            0.002855,            0.002855,            0.002855
                   9,            0.007857,           0.0051048,            0.032551,             0.89577,             0.96308,              0.9154,             0.89346,           0.0033656,           0.0029839,           0.0027179,           0.0018594,           0.0018594,           0.0018594
