               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04855,            0.016787,            0.087166,             0.63184,             0.16471,            0.050064,            0.044242,            0.021068,           0.0030927,            0.032714,             0.00196,             0.00196,             0.08236
                   1,            0.030545,            0.010668,             0.07884,             0.55841,             0.40756,             0.15341,             0.14063,            0.016631,           0.0032755,            0.026606,           0.0038434,           0.0038434,            0.064543
                   2,            0.024702,           0.0091875,             0.06731,             0.73491,             0.30472,             0.24287,             0.19555,            0.012009,           0.0035141,            0.021819,           0.0053929,           0.0053929,            0.046393
                   3,            0.020098,           0.0083234,            0.060252,             0.70281,             0.44945,             0.33564,             0.29705,            0.007605,           0.0029476,            0.018472,           0.0064101,           0.0064101,             0.02771
                   4,            0.015764,            0.007431,            0.056135,             0.63488,             0.50634,             0.45725,             0.41793,            0.007435,           0.0044863,            0.015074,           0.0067803,           0.0067803,           0.0083803
                   5,            0.012775,           0.0067787,            0.050615,             0.61722,             0.69863,              0.6131,             0.53232,           0.0063824,           0.0035104,            0.010179,              0.0055,              0.0055,              0.0055
                   6,            0.012407,           0.0065305,            0.046566,             0.75275,             0.67753,             0.64252,             0.58394,           0.0055666,           0.0039482,            0.008702,              0.0055,              0.0055,              0.0055
                   7,              0.0107,           0.0060634,            0.042916,             0.70628,             0.80732,             0.76347,             0.69434,           0.0048827,           0.0037767,           0.0063391,           0.0041094,           0.0041094,           0.0041094
                   8,           0.0093679,           0.0056502,             0.03987,              0.7541,             0.81804,              0.7945,             0.74552,           0.0042637,           0.0033643,           0.0051022,            0.002855,            0.002855,            0.002855
                   9,           0.0082616,            0.005313,            0.037276,              0.7543,             0.89144,             0.83206,             0.77364,           0.0047091,            0.003596,           0.0044562,           0.0018594,           0.0018594,           0.0018594
