Model Summary: 290 layers, 21022656 parameters, 0 gradients, 48.5 GFLOPs
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|██████████| 30/30 [00:09<00:00,  3.12it/s]
                 all        120        160      0.845      0.361       0.44      0.376
Geschwindigkeitsbegrenzung 20 km/h        120          1          1          0     0.0663     0.0531
Geschwindigkeitsbegrenzung 30 km/h        120          9      0.391      0.778      0.512      0.406
Geschwindigkeitsbegrenzung 50 km/h        120         13      0.423      0.734      0.614      0.526
Geschwindigkeitsbegrenzung 60 km/h        120          1          1          0      0.249      0.224
Geschwindigkeitsbegrenzung 70 km/h        120          7          1          0       0.21      0.178
Geschwindigkeitsbegrenzung 80 km/h        120          7      0.944      0.286      0.443      0.379
Geschwindigkeitsbegrenzung aufgehoben        120          8      0.931      0.875      0.982      0.868
Geschwindigkeitsbegrenzung 100 km/h        120          9      0.629          1      0.973       0.87
Geschwindigkeitsbegrenzung 120 km/h        120          9      0.526       0.62      0.454      0.373
       Überholverbot        120          6      0.806      0.833      0.955      0.702
Überholverbot für LKW        120         12       0.75      0.917      0.905      0.792
            Vorfahrt        120          1      0.125          1      0.995      0.895
     Vorfahrtsstraße        120         11      0.972          1      0.995      0.802
   Vorfahrt gewähren        120         14      0.949          1      0.995      0.886
          Stopschild        120          5      0.875          1      0.995      0.824
      Verbot für LKW        120          1          1          0     0.0221     0.0177
 Verbot der Einfahrt        120          7      0.733      0.857      0.883      0.701
        Gefahrstelle        120          4      0.664        0.5      0.542      0.442
          Doppelkuve        120          1          1          0     0.0169     0.0135
    Unebene Fahrbahn        120          1          1          0     0.0553     0.0442
Einseitig verengte Fahrbahn        120          2          1          0     0.0252     0.0202
           Baustelle        120          7          1          0      0.517      0.455
  Lichtzeichenanlage        120          2          1          0      0.121      0.109
    Fußgängerüberweg        120          1          1          0     0.0284     0.0227
    spielende Kinder        120          2          1          0      0.332      0.332
   Radfahrer kreuzen        120          1          1          0     0.0226     0.0226
Alle Streckenverbote aufgehoben        120          1          1          0      0.249      0.224
Vorgeschriebene Fahrtrichtung rechts        120          2          1          0      0.338      0.329
Vorgeschriebene Fahrtrichtung links        120          1          1          0     0.0553     0.0497
Vorgeschriebene Fahrtrichtung geradeaus        120          1          0          0      0.166      0.133
Vorgeschriebene Fahrtrichtung geradeaus oder rechts        120          1          1          0      0.166      0.133
Vorgeschriebene Fahrtrichtung geradeaus oder links        120          1          1          0    0.00706    0.00565
       Rechts vorbei        120          9          1      0.886      0.909      0.817
        Kreisverkehr        120          2          1          0      0.159      0.119
