               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10783,            0.071328,              0.0668,             0.39587,            0.026136,            0.018432,           0.0042678,            0.097095,            0.036387,            0.054627,             0.00089,             0.00089,             0.09199
                   1,            0.089362,            0.032975,            0.055328,             0.58115,             0.26591,             0.28024,             0.10343,            0.064959,            0.031748,            0.047173,           0.0017801,           0.0017801,             0.08388
                   2,            0.060787,            0.025383,            0.050131,             0.63583,             0.37849,             0.44175,             0.26031,            0.041026,            0.022594,            0.042418,           0.0026308,           0.0026308,            0.075731
                   3,             0.04513,            0.019825,            0.043715,             0.67739,              0.4252,             0.51607,             0.31744,            0.033642,            0.018241,            0.038481,           0.0034139,           0.0034139,            0.067514
                   4,            0.037933,            0.017597,            0.038198,             0.73446,             0.46065,              0.5415,             0.37292,            0.029106,            0.015984,            0.036827,           0.0041041,           0.0041041,            0.059204
                   5,            0.038598,             0.01712,            0.039091,             0.74224,             0.50137,              0.6425,             0.44785,            0.032255,             0.01506,            0.036498,           0.0046796,           0.0046796,             0.05078
                   6,            0.039587,            0.016678,            0.036435,             0.69821,             0.54961,             0.62638,             0.40259,            0.031814,            0.015429,            0.033693,           0.0051232,           0.0051232,            0.042223
                   7,            0.039372,            0.015568,            0.034066,             0.78816,             0.43114,             0.61129,             0.38667,            0.035537,            0.013476,            0.033296,           0.0054234,           0.0054234,            0.033523
                   8,            0.042228,             0.01494,            0.033494,             0.69135,             0.55567,             0.65331,             0.45265,            0.033733,            0.013797,             0.03211,           0.0055745,           0.0055745,            0.024674
                   9,            0.036739,            0.014734,            0.031809,             0.72361,             0.50259,             0.60112,             0.38592,            0.030506,            0.013062,            0.033178,           0.0055774,           0.0055774,            0.015677
                  10,            0.036359,            0.013573,            0.032441,             0.70033,             0.55173,             0.69113,             0.39788,            0.042043,            0.012799,            0.030334,           0.0054395,           0.0054395,           0.0065395
                  11,            0.040179,            0.012085,            0.029055,             0.71803,             0.56879,             0.71691,             0.49314,            0.027923,            0.011426,            0.029832,            0.004796,            0.004796,            0.004796
                  12,            0.035884,            0.011407,            0.028807,             0.57513,             0.68253,             0.72451,             0.47996,            0.030642,             0.01055,            0.029838,            0.004796,            0.004796,            0.004796
                  13,            0.032111,            0.010836,            0.027347,               0.705,              0.5883,             0.69904,             0.44938,            0.027386,            0.010595,            0.028044,           0.0041094,           0.0041094,           0.0041094
                  14,            0.030719,            0.010755,            0.024298,             0.64521,             0.64154,             0.71573,             0.49958,            0.029535,           0.0099959,            0.026991,            0.003457,            0.003457,            0.003457
                  15,            0.028532,           0.0099643,            0.021614,             0.57369,             0.71764,             0.73968,             0.54604,            0.024177,           0.0094531,            0.027768,            0.002855,            0.002855,            0.002855
                  16,            0.027864,            0.010498,            0.023952,             0.59133,             0.73477,             0.74021,             0.57439,            0.022248,           0.0093107,            0.026407,            0.002318,            0.002318,            0.002318
                  17,            0.024429,           0.0089937,            0.023461,              0.6221,              0.7379,              0.7531,             0.58487,            0.022685,           0.0090774,            0.026938,           0.0018594,           0.0018594,           0.0018594
                  18,            0.023449,           0.0088422,            0.019937,             0.61373,              0.7497,             0.76279,             0.60093,            0.021956,           0.0088395,            0.026972,           0.0014905,           0.0014905,           0.0014905
                  19,            0.021937,           0.0089694,            0.019545,              0.5881,             0.75619,             0.77625,             0.61465,            0.021287,           0.0088137,            0.025508,           0.0012202,           0.0012202,           0.0012202
