Model Summary: 290 layers, 21022656 parameters, 0 gradients
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100% 395/395 [03:25<00:00,  1.92it/s]
                 all      12630      12630      0.524      0.747      0.578      0.545
Geschwindigkeitsbegrenzung 20 km/h      12630         60          1          0     0.0216     0.0206
Geschwindigkeitsbegrenzung 30 km/h      12630        720      0.456      0.972      0.808      0.744
Geschwindigkeitsbegrenzung 50 km/h      12630        750      0.467      0.972      0.479      0.474
Geschwindigkeitsbegrenzung 60 km/h      12630        450      0.249          1      0.743      0.716
Geschwindigkeitsbegrenzung 70 km/h      12630        660      0.865      0.989      0.993      0.924
Geschwindigkeitsbegrenzung 80 km/h      12630        630      0.362      0.973      0.657      0.618
Geschwindigkeitsbegrenzung aufgehoben      12630        150      0.764      0.993      0.983      0.974
Geschwindigkeitsbegrenzung 100 km/h      12630        450      0.463      0.993      0.956      0.867
Geschwindigkeitsbegrenzung 120 km/h      12630        450      0.423      0.967      0.839      0.825
       Überholverbot      12630        480      0.766      0.996      0.991      0.893
Überholverbot für LKW      12630        660      0.742          1      0.969      0.877
            Vorfahrt      12630        420      0.332      0.988      0.848      0.806
     Vorfahrtsstraße      12630        690      0.981      0.978      0.981       0.89
   Vorfahrt gewähren      12630        720      0.973          1      0.995      0.933
          Stopschild      12630        270      0.733          1      0.995      0.952
Verbot für Fahrzeuge aller Art      12630        210      0.588          1      0.995      0.891
      Verbot für LKW      12630        150      0.181       0.64      0.553      0.501
 Verbot der Einfahrt      12630        360      0.989          1      0.995      0.981
        Gefahrstelle      12630        390      0.668      0.962      0.972      0.886
         Kurve links      12630         60          1          0     0.0734     0.0691
        Kurve rechts      12630         90      0.088      0.289      0.172      0.157
          Doppelkuve      12630         90          1          0     0.0406     0.0369
    Unebene Fahrbahn      12630        120     0.0659     0.0167      0.131      0.121
     Schleudergefahr      12630        150      0.183      0.967      0.193      0.187
Einseitig verengte Fahrbahn      12630         90          1          0     0.0935     0.0858
           Baustelle      12630        480      0.317      0.998      0.826      0.772
  Lichtzeichenanlage      12630        180      0.688      0.552      0.649       0.62
    Fußgängerüberweg      12630         60          1          0     0.0594     0.0592
    spielende Kinder      12630        150      0.129      0.467      0.151      0.142
   Radfahrer kreuzen      12630         90          1          0     0.0713     0.0699
Schnee- und Eisglätte      12630        150     0.0964       0.42      0.124      0.118
 Achtung Wildwechsel      12630        270      0.294          1       0.93       0.86
Alle Streckenverbote aufgehoben      12630         60      0.249          1      0.631      0.626
Vorgeschriebene Fahrtrichtung rechts      12630        210      0.335       0.99      0.505      0.485
Vorgeschriebene Fahrtrichtung links      12630        120      0.201          1      0.339       0.31
Vorgeschriebene Fahrtrichtung geradeaus      12630        390      0.703       0.99      0.989      0.923
Vorgeschriebene Fahrtrichtung geradeaus oder rechts      12630        120      0.198       0.98       0.22      0.219
Vorgeschriebene Fahrtrichtung geradeaus oder links      12630         60      0.237       0.55       0.27      0.253
       Rechts vorbei      12630        690       0.85          1      0.879      0.845
        links vorbei      12630         90      0.137      0.667      0.153       0.15
        Kreisverkehr      12630         90      0.152      0.978      0.218        0.2
Überholverbot aufgehoben      12630         60      0.288          1      0.904      0.904
Überholverbot für LKW aufgehoben      12630         90      0.316      0.844      0.449      0.431
