               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10044,            0.060022,            0.088781,           0.0016457,           0.0066527,          0.00092672,          0.00020156,            0.072237,            0.046307,            0.088257,             0.00179,             0.00179,             0.08389
                   1,            0.072786,            0.040037,            0.088293,            0.012725,             0.24209,            0.025353,            0.011486,            0.068957,            0.031788,              0.0865,           0.0035892,           0.0035892,            0.067689
                   2,            0.065194,            0.029254,            0.084531,              0.1976,             0.19907,            0.038606,            0.016959,            0.065238,            0.025949,            0.084623,           0.0053852,           0.0053852,            0.051485
                   3,            0.066751,            0.022681,            0.083544,             0.58836,            0.026494,            0.019848,           0.0084532,            0.081194,            0.019131,            0.083238,           0.0071756,           0.0071756,            0.035276
                   4,            0.069107,            0.021162,            0.083472,             0.13868,             0.13174,            0.036847,            0.015612,            0.058703,            0.022287,            0.083866,           0.0089581,           0.0089581,            0.019058
                   5,            0.070081,            0.021921,            0.083505,             0.38027,             0.08887,            0.037454,            0.015421,            0.062507,            0.020979,            0.082574,           0.0099446,           0.0099446,           0.0099446
                   6,            0.066255,            0.018528,            0.082199,             0.22481,             0.26906,            0.040237,            0.015095,            0.057859,            0.016539,            0.081264,           0.0099446,           0.0099446,           0.0099446
                   7,            0.061734,            0.016047,            0.081445,             0.49622,              0.1805,             0.10716,            0.058842,            0.049971,            0.015242,             0.08046,           0.0099203,           0.0099203,           0.0099203
                   8,            0.055375,            0.015768,            0.081012,             0.42225,             0.29592,            0.078518,             0.03532,            0.067084,            0.011546,            0.079504,           0.0098916,           0.0098916,           0.0098916
                   9,            0.058619,            0.012795,            0.080376,              0.6046,             0.19148,            0.088312,            0.035002,            0.045106,            0.011692,            0.079099,           0.0098586,           0.0098586,           0.0098586
                  10,            0.049948,            0.011412,            0.080688,              0.5773,             0.24452,            0.099337,            0.047956,             0.04547,            0.010471,            0.078156,           0.0098213,           0.0098213,           0.0098213
                  11,              0.0481,            0.010663,            0.079457,             0.56137,             0.28584,            0.093986,            0.054212,            0.036137,            0.010881,            0.077717,           0.0097798,           0.0097798,           0.0097798
                  12,            0.041564,            0.011711,            0.080252,             0.61083,              0.1991,             0.12336,            0.077485,            0.032709,            0.010331,            0.076812,            0.009734,            0.009734,            0.009734
                  13,            0.039964,            0.011003,             0.07843,             0.56645,             0.25095,              0.1463,            0.087031,            0.034753,           0.0096472,            0.075727,            0.009684,            0.009684,            0.009684
                  14,            0.043308,            0.010698,            0.076877,             0.72791,             0.19351,             0.17147,             0.10034,            0.033867,           0.0097646,            0.074926,           0.0096299,           0.0096299,           0.0096299
