               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080733,            0.057313,             0.06496,              0.8641,             0.27378,             0.35905,             0.23173,            0.049103,            0.027612,            0.047504,             0.00179,             0.00179,             0.08389
                   1,            0.049173,            0.022148,            0.045836,              0.7201,             0.43747,             0.58085,             0.42602,             0.03113,             0.01671,            0.035122,           0.0035892,           0.0035892,            0.067689
                   2,            0.042315,            0.016393,             0.03821,             0.71926,             0.53667,             0.66145,             0.44337,            0.036815,            0.012887,             0.03106,           0.0053852,           0.0053852,            0.051485
                   3,            0.040025,            0.015061,            0.034045,             0.66968,             0.60988,             0.68367,             0.49401,            0.032934,            0.012501,            0.027184,           0.0071756,           0.0071756,            0.035276
                   4,            0.045037,            0.014536,            0.030838,             0.62616,             0.53094,             0.63816,             0.44724,            0.032703,            0.012544,            0.029156,           0.0089581,           0.0089581,            0.019058
                   5,            0.041288,            0.016118,            0.032414,             0.65359,             0.57273,             0.68893,             0.43411,            0.034393,            0.012366,            0.026918,           0.0099446,           0.0099446,           0.0099446
                   6,            0.046672,            0.013961,            0.031193,             0.74416,              0.5418,              0.6435,             0.41827,            0.035914,            0.012841,            0.030215,           0.0099446,           0.0099446,           0.0099446
                   7,             0.04423,            0.013383,            0.026176,              0.7276,             0.53703,             0.66566,             0.43071,            0.031898,            0.011339,            0.029406,           0.0099203,           0.0099203,           0.0099203
                   8,            0.038326,            0.013564,            0.025967,             0.65639,             0.56547,             0.69203,             0.46638,             0.02977,            0.010959,            0.028721,           0.0098916,           0.0098916,           0.0098916
                   9,            0.043428,             0.01242,            0.026313,             0.75691,             0.48945,             0.68242,             0.43587,            0.035081,             0.01096,            0.028211,           0.0098586,           0.0098586,           0.0098586
                  10,            0.041371,            0.012049,            0.024272,             0.67594,             0.54588,             0.70077,             0.46339,            0.033281,            0.011513,            0.027049,           0.0098213,           0.0098213,           0.0098213
                  11,            0.039667,            0.010984,            0.022871,              0.4821,             0.64226,             0.66646,             0.47269,            0.034385,            0.010206,            0.029991,           0.0097798,           0.0097798,           0.0097798
                  12,            0.040203,            0.012195,            0.022819,             0.64267,             0.58837,             0.70962,             0.45555,            0.031472,           0.0096643,            0.032311,            0.009734,            0.009734,            0.009734
                  13,            0.037661,            0.011585,            0.022138,             0.61409,             0.55499,             0.66949,             0.43089,            0.034192,            0.010245,            0.033883,            0.009684,            0.009684,            0.009684
                  14,            0.039083,            0.011169,            0.020225,             0.54262,             0.60511,             0.66923,             0.42377,            0.033697,            0.009435,            0.029287,           0.0096299,           0.0096299,           0.0096299
                  15,             0.03516,            0.010222,            0.018108,             0.59931,             0.56206,             0.66033,             0.44119,            0.029072,           0.0095236,            0.028995,           0.0095717,           0.0095717,           0.0095717
