               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1295,            0.042371,            0.099117,                   0,                   0,                   0,                   0,             0.12628,            0.013767,            0.083421,             0.00022,             0.00022,             0.09802
                   1,             0.12433,            0.018679,            0.084954,           0.0024548,           0.0097321,          0.00092648,           0.0002512,             0.11096,             0.01545,            0.073186,           0.0004499,           0.0004499,             0.09595
                   2,             0.10807,            0.014167,            0.073699,             0.64103,            0.029496,            0.021413,           0.0041964,            0.087181,            0.018321,            0.063339,           0.0006794,           0.0006794,            0.093879
                   3,            0.090399,            0.014104,            0.066322,             0.39022,            0.089745,            0.082031,            0.029275,            0.075329,            0.016732,            0.058089,          0.00090818,          0.00090818,            0.091808
                   4,            0.076761,            0.012978,            0.057827,              0.5485,             0.15458,             0.13207,            0.057087,            0.064378,            0.015262,            0.054018,            0.001136,            0.001136,            0.089736
                   5,            0.071693,            0.012704,            0.051273,             0.65267,             0.13312,             0.16965,            0.076414,            0.062876,            0.014128,            0.049309,           0.0013624,           0.0013624,            0.087662
                   6,            0.066966,            0.012085,            0.051727,             0.45392,             0.30112,              0.2633,             0.12625,            0.053055,            0.013298,            0.047461,           0.0015872,           0.0015872,            0.085587
                   7,            0.060928,            0.011699,            0.046649,             0.42277,             0.30847,             0.24475,             0.13462,            0.050249,            0.012394,            0.045289,           0.0018102,           0.0018102,             0.08351
                   8,            0.058666,            0.011537,             0.04538,             0.46985,             0.32132,             0.28291,              0.1549,            0.049419,            0.011737,            0.044434,           0.0020309,           0.0020309,            0.081431
                   9,            0.056319,            0.010851,            0.042645,             0.57674,             0.25649,             0.30098,             0.17902,            0.045943,            0.011679,            0.046262,           0.0022491,           0.0022491,            0.079349
                  10,             0.05705,            0.010848,            0.043842,             0.60163,             0.27696,             0.27625,             0.16816,            0.049333,             0.01071,            0.042245,           0.0024645,           0.0024645,            0.077264
                  11,            0.055633,            0.010648,            0.043964,             0.64302,              0.2262,             0.28817,             0.17333,            0.047404,            0.010475,            0.041672,           0.0026768,           0.0026768,            0.075177
                  12,            0.054091,            0.010466,            0.040544,              0.4996,              0.3057,             0.29551,             0.19037,            0.042503,            0.010613,            0.041154,           0.0028858,           0.0028858,            0.073086
                  13,            0.052801,            0.010216,            0.036649,             0.40134,             0.46585,             0.32447,             0.18633,            0.048715,           0.0098172,            0.042978,           0.0030912,           0.0030912,            0.070991
                  14,            0.055451,            0.010411,            0.037729,             0.70201,             0.21407,             0.31821,             0.21218,            0.046943,            0.010133,            0.044237,           0.0032927,           0.0032927,            0.068893
                  15,            0.051794,           0.0089752,            0.035142,             0.55092,             0.35683,             0.37913,             0.25675,             0.04076,           0.0096976,            0.037975,             0.00349,             0.00349,             0.06679
                  16,            0.048156,           0.0092661,             0.03288,             0.72557,             0.24934,             0.35308,             0.23545,            0.039743,           0.0095049,            0.037478,           0.0036829,           0.0036829,            0.064683
                  17,            0.049799,           0.0088919,            0.032826,             0.54074,             0.25378,             0.32261,             0.20652,            0.045382,           0.0099086,            0.043406,           0.0038712,           0.0038712,            0.062571
                  18,            0.048184,            0.009484,            0.031827,             0.41184,             0.39469,             0.33927,             0.22585,            0.043373,           0.0096168,            0.040876,           0.0040546,           0.0040546,            0.060455
                  19,            0.048927,           0.0090585,            0.028763,              0.4007,             0.43435,             0.34441,              0.2278,             0.04795,           0.0089398,            0.042491,           0.0042328,           0.0042328,            0.058333
                  20,             0.04783,            0.008658,            0.029321,             0.56941,             0.33539,             0.41066,             0.27655,            0.041615,           0.0086708,            0.038494,           0.0044058,           0.0044058,            0.056206
                  21,            0.049664,           0.0085241,            0.028176,             0.54923,              0.3899,             0.39343,             0.22177,            0.046023,           0.0087891,            0.039884,           0.0045731,           0.0045731,            0.054073
                  22,            0.052046,           0.0090151,            0.023653,              0.6857,             0.26713,             0.36425,             0.23957,            0.041662,           0.0087072,            0.042391,           0.0047347,           0.0047347,            0.051935
                  23,            0.050213,           0.0083543,            0.028401,             0.18002,             0.66007,             0.39107,             0.26619,            0.043328,           0.0087272,            0.042853,           0.0048904,           0.0048904,             0.04979
                  24,             0.05243,           0.0079881,             0.02505,             0.42591,             0.37918,             0.39416,             0.24031,            0.046871,           0.0088863,            0.042101,           0.0050399,           0.0050399,             0.04764
                  25,            0.048973,           0.0080479,            0.026238,             0.72398,             0.26422,             0.43914,             0.25611,            0.045757,           0.0085733,            0.039087,           0.0051831,           0.0051831,            0.045483
                  26,            0.052546,           0.0077113,            0.025904,             0.38928,              0.4443,             0.36476,             0.22622,            0.047315,           0.0088302,            0.052968,           0.0053199,           0.0053199,             0.04332
                  27,            0.060228,           0.0083872,             0.02749,              0.4504,             0.39823,             0.37112,             0.23456,            0.048209,           0.0087094,            0.049222,             0.00545,             0.00545,             0.04115
                  28,            0.058915,            0.008563,            0.027109,             0.47759,              0.3833,             0.43059,             0.23232,            0.049824,           0.0089332,            0.047851,           0.0055734,           0.0055734,            0.038973
