               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10986,            0.070323,              0.0947,                   0,                   0,                   0,                   0,             0.09727,            0.055256,            0.091045,             0.00059,             0.00059,             0.09469
                   1,             0.10115,            0.047494,            0.092547,                   0,                   0,                   0,                   0,            0.091472,            0.047671,            0.090925,           0.0011782,           0.0011782,            0.089278
                   2,            0.097453,            0.041374,            0.091768,                   0,                   0,                   0,                   0,             0.12392,            0.054824,              0.2241,           0.0017546,           0.0017546,            0.083855
                   3,            0.096476,            0.038285,            0.091335,                   0,                   0,                   0,                   0,            0.095749,            0.040104,            0.091189,            0.002319,            0.002319,            0.078419
                   4,            0.094984,             0.03734,            0.090589,                   0,                   0,                   0,                   0,            0.089076,            0.041871,            0.090471,           0.0028716,           0.0028716,            0.072972
                   5,            0.094634,            0.035053,            0.090459,                   0,                   0,                   0,                   0,            0.089089,            0.040925,            0.090233,           0.0034123,           0.0034123,            0.067512
                   6,            0.094068,            0.035045,            0.090142,                   0,                   0,                   0,                   0,             0.08865,            0.041083,            0.090035,           0.0039411,           0.0039411,            0.062041
                   7,             0.09468,            0.035648,             0.08988,                   0,                   0,                   0,                   0,            0.088239,             0.04076,             0.08987,           0.0044581,           0.0044581,            0.056558
                   8,            0.094226,            0.034732,            0.089697,                   0,                   0,                   0,                   0,             0.09007,            0.038997,            0.089797,           0.0049631,           0.0049631,            0.051063
                   9,             0.09324,            0.035728,            0.089546,                   0,                   0,                   0,                   0,            0.088698,            0.039351,            0.089503,           0.0054563,           0.0054563,            0.045556
                  10,            0.093793,            0.035577,              0.0889,                   0,                   0,                   0,                   0,            0.088239,            0.039605,            0.089221,           0.0059376,           0.0059376,            0.040038
                  11,            0.091683,            0.034074,            0.088472,                   0,                   0,                   0,                   0,            0.087323,            0.039432,            0.088722,            0.006407,            0.006407,            0.034507
                  12,            0.091091,            0.034976,            0.088414,                   0,                   0,                   0,                   0,            0.084217,            0.041171,            0.088532,           0.0068645,           0.0068645,            0.028965
                  13,            0.088799,            0.032976,            0.087709,                   0,                   0,                   0,                   0,             0.08246,            0.040629,            0.087703,           0.0073102,           0.0073102,             0.02341
                  14,            0.087073,              0.0347,             0.08674,                   0,                   0,                   0,                   0,            0.081813,            0.038993,            0.086988,            0.007744,            0.007744,            0.017844
