               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10824,            0.056761,            0.091837,          0.00012844,           0.0036765,          0.00010158,          5.0789e-05,            0.081104,            0.045071,            0.089506,             0.00179,             0.00179,             0.08389
                   1,            0.074982,            0.041559,            0.088673,          0.00042017,            0.003268,          0.00028459,          0.00017075,             0.05892,            0.039294,            0.086933,           0.0035892,           0.0035892,            0.067689
                   2,            0.063549,            0.036902,            0.087425,           0.0094499,             0.15217,            0.015627,           0.0041223,             0.05263,            0.034093,            0.085811,           0.0053852,           0.0053852,            0.051485
                   3,            0.058563,            0.030287,            0.084796,            0.038268,             0.26155,            0.017192,           0.0051274,            0.054254,            0.028308,            0.085019,           0.0071756,           0.0071756,            0.035276
                   4,             0.06174,            0.024408,            0.084599,             0.71642,            0.056381,            0.050321,            0.012067,            0.057012,            0.022836,            0.084377,           0.0089581,           0.0089581,            0.019058
                   5,            0.067289,            0.026622,            0.085343,            0.016753,             0.39373,            0.040842,            0.016553,            0.049446,            0.028838,            0.084103,           0.0099446,           0.0099446,           0.0099446
                   6,            0.057155,            0.024183,            0.083529,             0.10445,             0.18737,            0.031632,            0.013187,            0.054969,            0.018045,            0.082975,           0.0099446,           0.0099446,           0.0099446
                   7,            0.060476,             0.01779,            0.083516,             0.57501,             0.11666,            0.079941,            0.041675,            0.047256,            0.016196,            0.081961,           0.0099203,           0.0099203,           0.0099203
                   8,            0.054103,            0.015162,            0.081297,             0.70504,             0.12289,            0.089266,             0.03329,            0.048384,            0.014053,             0.08124,           0.0098916,           0.0098916,           0.0098916
                   9,            0.048802,            0.015227,             0.08207,             0.40134,             0.42312,             0.10259,            0.053325,            0.036938,            0.014052,            0.080612,           0.0098586,           0.0098586,           0.0098586
                  10,            0.048771,            0.012483,            0.078879,             0.63196,             0.21599,             0.11706,            0.070622,            0.037479,            0.012828,            0.080397,           0.0098213,           0.0098213,           0.0098213
                  11,              0.0451,             0.01426,              0.0815,             0.60645,               0.181,             0.12212,            0.051304,            0.040474,            0.011733,            0.079985,           0.0097798,           0.0097798,           0.0097798
                  12,            0.044809,            0.012207,            0.080282,              0.5358,             0.22168,            0.090042,            0.052904,            0.029777,            0.011842,            0.079715,            0.009734,            0.009734,            0.009734
                  13,            0.039581,             0.01178,            0.079488,             0.44157,              0.3316,             0.09076,            0.047798,            0.040227,            0.010925,            0.079115,            0.009684,            0.009684,            0.009684
                  14,            0.039969,            0.011287,            0.079729,             0.48169,               0.239,             0.09099,            0.055484,            0.037137,            0.010615,            0.078681,           0.0096299,           0.0096299,           0.0096299
                  15,            0.041127,            0.010832,            0.077129,             0.48441,             0.26554,            0.097222,            0.064533,            0.031955,            0.010459,            0.078484,           0.0095717,           0.0095717,           0.0095717
                  16,            0.039998,            0.011046,            0.079063,              0.5559,             0.28989,             0.13826,            0.070677,            0.031411,             0.01099,            0.078098,           0.0095095,           0.0095095,           0.0095095
                  17,            0.038629,            0.010197,            0.078643,             0.53293,             0.28628,             0.13784,            0.077985,            0.030405,           0.0099874,            0.077713,           0.0094434,           0.0094434,           0.0094434
                  18,            0.033296,             0.01035,             0.07649,             0.47004,             0.35174,             0.15525,            0.098248,            0.029922,            0.010468,            0.077123,           0.0093733,           0.0093733,           0.0093733
                  19,            0.035684,           0.0096454,            0.078525,             0.58968,             0.29067,             0.17908,             0.12697,            0.026301,              0.0098,            0.076576,           0.0092995,           0.0092995,           0.0092995
                  20,            0.034685,            0.010435,            0.076955,             0.58612,             0.31626,             0.16206,             0.11549,            0.022453,            0.010056,            0.076026,           0.0092219,           0.0092219,           0.0092219
