Model Summary: 290 layers, 21022656 parameters, 0 gradients
               Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100% 15/15 [00:25<00:00,  1.71s/it]
                 all        120        166      0.614      0.709      0.776      0.615
Geschwindigkeitsbegrenzung 20 km/h        120          1          1          0      0.995      0.697
Geschwindigkeitsbegrenzung 30 km/h        120         12      0.454       0.75      0.618      0.505
Geschwindigkeitsbegrenzung 50 km/h        120         11      0.475          1      0.942      0.838
Geschwindigkeitsbegrenzung 60 km/h        120          6      0.706      0.805      0.893      0.784
Geschwindigkeitsbegrenzung 70 km/h        120          8      0.677      0.625      0.729      0.596
Geschwindigkeitsbegrenzung 80 km/h        120          7      0.431      0.571      0.645      0.537
Geschwindigkeitsbegrenzung aufgehoben        120          3      0.696          1      0.995      0.841
Geschwindigkeitsbegrenzung 100 km/h        120          8      0.404          1      0.738      0.613
Geschwindigkeitsbegrenzung 120 km/h        120         10      0.404        0.6      0.758      0.619
       Überholverbot        120          4      0.674       0.75       0.75      0.699
Überholverbot für LKW        120         19       0.94      0.824      0.968      0.735
            Vorfahrt        120          3      0.648          1      0.995      0.664
     Vorfahrtsstraße        120         10      0.838          1       0.95      0.729
   Vorfahrt gewähren        120          9      0.688      0.889      0.886      0.622
          Stopschild        120          2       0.74          1      0.995      0.846
Verbot für Fahrzeuge aller Art        120          5      0.779        0.6      0.798      0.577
      Verbot für LKW        120          1      0.613          1      0.995      0.796
 Verbot der Einfahrt        120          4      0.627          1      0.995      0.846
        Gefahrstelle        120          1      0.622          1      0.995      0.796
         Kurve links        120          1     0.0144     0.0288      0.497      0.348
        Kurve rechts        120          2      0.815        0.5       0.62      0.595
          Doppelkuve        120          2      0.589        0.5      0.504       0.35
    Unebene Fahrbahn        120          1      0.571          1      0.995      0.995
     Schleudergefahr        120          3      0.622          1      0.995      0.758
           Baustelle        120          4      0.604       0.75      0.856      0.682
    spielende Kinder        120          1       0.28       0.84      0.332      0.265
Schnee- und Eisglätte        120          2          1      0.857      0.995      0.746
Vorgeschriebene Fahrtrichtung rechts        120          3      0.461      0.667      0.541      0.387
Vorgeschriebene Fahrtrichtung links        120          1      0.434          1      0.995      0.796
Vorgeschriebene Fahrtrichtung geradeaus        120          2      0.359        0.5      0.638       0.39
Vorgeschriebene Fahrtrichtung geradeaus oder rechts        120          2      0.999        0.5      0.695      0.496
       Rechts vorbei        120         11      0.784          1      0.899      0.735
        links vorbei        120          2          1          0      0.159      0.122
        Kreisverkehr        120          1       0.32       0.64      0.497      0.348
Überholverbot aufgehoben        120          3      0.853      0.333      0.753      0.507
Überholverbot für LKW aufgehoben        120          1          0          0      0.332      0.265
