               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039756,            0.014023,            0.076985,              0.6106,             0.43729,             0.21418,             0.14425,            0.013229,           0.0032494,            0.037232,           0.0033279,           0.0033279,            0.070049
                   1,            0.025111,           0.0092224,            0.051714,             0.53484,             0.71973,             0.50073,             0.39785,            0.010524,           0.0030383,            0.022105,           0.0065145,           0.0065145,            0.039902
                   2,            0.021988,           0.0087899,            0.040062,             0.70311,             0.78975,             0.77425,             0.60181,            0.011421,           0.0033411,            0.014465,           0.0091356,           0.0091356,             0.00919
                   3,            0.019576,           0.0083983,             0.03233,             0.85262,             0.85641,             0.87049,             0.73625,           0.0093631,            0.003137,           0.0075123,            0.008145,            0.008145,            0.008145
                   4,            0.018169,             0.00805,            0.028308,             0.85114,             0.93441,              0.9006,             0.77279,           0.0083238,           0.0028223,           0.0057658,            0.008145,            0.008145,            0.008145
                   5,            0.016456,           0.0075836,            0.025141,             0.88001,             0.95724,             0.90612,             0.81177,            0.007077,           0.0026807,           0.0042872,           0.0068906,           0.0068906,           0.0068906
                   6,            0.015064,           0.0071976,            0.022486,             0.86088,             0.97315,             0.90518,             0.81352,            0.006661,           0.0027155,           0.0039461,              0.0055,              0.0055,              0.0055
                   7,            0.013741,           0.0068647,            0.020782,             0.87956,              0.9737,              0.9169,             0.84227,           0.0059605,           0.0026536,           0.0031343,           0.0041094,           0.0041094,           0.0041094
                   8,             0.01254,           0.0065695,            0.018924,              0.8873,             0.97556,              0.9231,             0.85883,           0.0054475,           0.0026813,           0.0027661,            0.002855,            0.002855,            0.002855
                   9,            0.011483,           0.0062856,            0.017662,             0.88561,             0.98064,             0.92218,             0.84458,           0.0061881,           0.0026368,           0.0026319,           0.0018594,           0.0018594,           0.0018594
