               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071885,            0.024368,            0.086747,             0.40235,             0.19362,           0.0032768,          0.00054437,            0.037211,            0.011462,            0.056056,             0.00196,             0.00196,             0.08236
                   1,            0.045364,            0.020879,            0.081127,             0.48596,             0.39989,            0.064939,             0.02838,            0.032411,           0.0053689,             0.05249,           0.0038434,           0.0038434,            0.064543
                   2,            0.034098,            0.014213,            0.075631,             0.55082,             0.37302,             0.17341,            0.087815,            0.025395,           0.0041202,            0.043497,           0.0053929,           0.0053929,            0.046393
                   3,            0.028983,             0.01171,            0.062614,              0.3865,             0.52869,              0.2418,             0.14288,            0.019426,           0.0037039,            0.035658,           0.0064101,           0.0064101,             0.02771
                   4,            0.024288,            0.010253,            0.053884,             0.45481,             0.56128,             0.30356,             0.18605,            0.015998,           0.0034128,            0.031606,           0.0067803,           0.0067803,           0.0083803
                   5,             0.02057,           0.0092426,            0.048765,             0.56031,             0.64016,             0.42498,             0.30839,             0.01626,           0.0033379,            0.026336,              0.0055,              0.0055,              0.0055
                   6,            0.019564,           0.0087594,            0.044273,             0.69467,             0.57832,             0.51287,             0.39777,            0.012304,           0.0031633,            0.022362,              0.0055,              0.0055,              0.0055
                   7,            0.017842,           0.0083385,            0.038548,             0.67024,             0.70526,             0.62657,             0.51734,            0.010066,            0.003322,            0.014835,           0.0041094,           0.0041094,           0.0041094
                   8,            0.016099,           0.0079473,            0.033795,             0.78382,             0.68273,             0.69037,             0.59517,           0.0084314,           0.0032865,            0.012165,            0.002855,            0.002855,            0.002855
                   9,            0.014658,            0.007523,            0.030453,             0.88418,             0.68298,             0.73967,             0.62709,            0.008717,           0.0031624,           0.0095896,           0.0018594,           0.0018594,           0.0018594
