               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039756,            0.014023,            0.076985,              0.6106,             0.43729,             0.21418,             0.14425,            0.013229,           0.0032494,            0.037232,           0.0033279,           0.0033279,            0.070049
                   1,            0.025235,           0.0092439,            0.051757,             0.58679,              0.6788,             0.50483,             0.40236,             0.01255,           0.0030582,            0.021889,           0.0066597,           0.0066597,            0.040047
                   2,            0.022241,           0.0088832,            0.040458,             0.61886,             0.71319,             0.67815,             0.50846,             0.01205,           0.0033446,            0.017913,           0.0099857,           0.0099857,             0.01004
                   3,            0.020367,           0.0086225,            0.033412,             0.80664,             0.83893,             0.84119,             0.71601,             0.01023,           0.0031339,           0.0097594,             0.00998,             0.00998,             0.00998
                   4,            0.018616,           0.0081826,            0.028994,              0.8253,             0.91168,             0.88248,             0.74944,           0.0090602,           0.0028317,           0.0077186,             0.00998,             0.00998,             0.00998
                   5,            0.017668,           0.0078753,            0.026525,             0.87465,             0.95799,             0.91371,              0.7934,           0.0080261,           0.0027747,           0.0046962,           0.0099645,           0.0099645,           0.0099645
                   6,            0.016976,           0.0076572,            0.024658,             0.88428,             0.95598,              0.9049,             0.79455,           0.0074807,           0.0028177,            0.004235,           0.0099446,           0.0099446,           0.0099446
                   7,            0.016434,           0.0075124,            0.023847,             0.87974,             0.95156,             0.90469,              0.8045,           0.0071507,           0.0027657,           0.0042613,           0.0099203,           0.0099203,           0.0099203
                   8,            0.016053,           0.0074089,            0.022882,              0.8851,             0.97709,             0.92506,             0.84657,           0.0061713,           0.0026896,           0.0034808,           0.0098916,           0.0098916,           0.0098916
                   9,            0.015759,           0.0073026,            0.022389,             0.89515,             0.97968,             0.92118,             0.82786,           0.0065283,           0.0026535,           0.0034327,           0.0098586,           0.0098586,           0.0098586
                  10,              0.0154,           0.0072438,            0.021613,             0.89316,             0.97356,             0.92648,             0.85257,           0.0058827,           0.0026245,           0.0033699,           0.0098213,           0.0098213,           0.0098213
                  11,            0.015196,           0.0072098,            0.021221,             0.88987,             0.96262,             0.91995,             0.84249,           0.0061645,           0.0026889,           0.0032257,           0.0097798,           0.0097798,           0.0097798
