               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064693,            0.024677,            0.086914,             0.13624,              0.5561,            0.032558,            0.019592,            0.019766,           0.0068758,             0.05584,           0.0033306,           0.0033306,            0.070024
                   1,            0.029132,            0.014195,            0.081663,             0.56764,             0.33359,             0.14865,              0.1111,            0.012469,           0.0034143,            0.044992,           0.0066625,           0.0066625,            0.040023
                   2,            0.024342,            0.010718,            0.063897,             0.67861,             0.35179,             0.28337,             0.22412,            0.010249,           0.0034757,             0.03237,           0.0099884,           0.0099884,            0.010016
                   3,            0.021467,           0.0095331,            0.052546,              0.5283,             0.57886,             0.45867,             0.38395,           0.0087771,            0.003224,             0.02485,             0.00998,             0.00998,             0.00998
                   4,            0.020189,           0.0090424,            0.043953,              0.6383,             0.67138,             0.62666,             0.54191,           0.0081018,           0.0031152,            0.015358,             0.00998,             0.00998,             0.00998
                   5,            0.019485,            0.008738,            0.037682,             0.78217,             0.67089,             0.69508,             0.60403,           0.0076528,           0.0030513,            0.011034,           0.0099645,           0.0099645,           0.0099645
                   6,            0.018832,           0.0084902,            0.033296,             0.77494,             0.80366,             0.80985,             0.71189,           0.0072759,           0.0030728,           0.0080585,           0.0099446,           0.0099446,           0.0099446
                   7,            0.018463,           0.0082962,            0.030196,             0.85874,             0.87997,             0.87602,             0.76889,           0.0072597,           0.0030614,           0.0060933,           0.0099203,           0.0099203,           0.0099203
                   8,            0.017926,           0.0081598,            0.028295,             0.86496,             0.93989,             0.90931,             0.80414,           0.0071552,           0.0029382,           0.0047922,           0.0098916,           0.0098916,           0.0098916
                   9,            0.017654,           0.0080374,            0.026685,             0.87885,             0.93478,               0.908,             0.80767,            0.006928,           0.0028012,            0.004287,           0.0098586,           0.0098586,           0.0098586
                  10,            0.017219,           0.0078964,            0.025544,             0.88033,              0.9577,             0.91985,             0.83003,           0.0066677,           0.0028016,           0.0038757,           0.0098213,           0.0098213,           0.0098213
                  11,            0.016889,           0.0078414,            0.024938,             0.90083,             0.94232,             0.91999,             0.83535,           0.0065402,           0.0028338,           0.0036795,           0.0097798,           0.0097798,           0.0097798
                  12,            0.016661,           0.0077075,             0.02435,             0.89574,             0.96201,             0.91269,             0.82561,           0.0066561,           0.0028099,           0.0034487,            0.009734,            0.009734,            0.009734
                  13,            0.016497,           0.0076439,            0.023733,             0.87309,             0.97784,              0.9215,             0.84862,           0.0058576,           0.0026405,           0.0033064,            0.009684,            0.009684,            0.009684
                  14,            0.016294,           0.0075758,            0.023368,             0.87528,             0.97651,             0.91386,             0.84021,           0.0060608,           0.0027409,           0.0032034,           0.0096299,           0.0096299,           0.0096299
                  15,            0.016103,           0.0075096,            0.023178,             0.88962,             0.97247,              0.9221,             0.84819,           0.0061504,           0.0027103,           0.0030761,           0.0095717,           0.0095717,           0.0095717
                  16,             0.01587,           0.0075029,            0.022479,             0.89211,             0.97253,             0.92231,             0.84625,            0.006049,           0.0027542,           0.0029968,           0.0095095,           0.0095095,           0.0095095
                  17,             0.01579,           0.0074034,            0.022253,             0.88825,             0.98028,             0.92657,             0.85016,           0.0060562,           0.0027004,           0.0029221,           0.0094434,           0.0094434,           0.0094434
                  18,            0.015599,            0.007364,            0.021676,             0.89039,             0.98321,             0.93159,              0.8532,           0.0061067,           0.0027306,           0.0028462,           0.0093733,           0.0093733,           0.0093733
                  19,            0.015494,           0.0073466,            0.021392,             0.89509,              0.9762,             0.93274,               0.854,           0.0062322,           0.0027301,           0.0028386,           0.0092995,           0.0092995,           0.0092995
                  20,            0.015403,           0.0073045,            0.021059,              0.8976,             0.97486,             0.93189,              0.8534,           0.0062736,           0.0027048,           0.0027745,           0.0092219,           0.0092219,           0.0092219
                  21,            0.015331,           0.0072546,            0.020868,             0.89713,             0.97643,             0.93113,              0.8538,           0.0062556,           0.0027273,           0.0027424,           0.0091406,           0.0091406,           0.0091406
                  22,            0.015178,           0.0072323,            0.020472,             0.89888,             0.97998,             0.93332,             0.85765,           0.0061734,           0.0027202,           0.0027063,           0.0090557,           0.0090557,           0.0090557
