,images,labels,p,r,map50,map
all,120.0,180.0,0.05326778189019703,0.1750122674935247,0.0842080000109106,0.059701102394944146
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.03371865421673851,0.16666666666666666,0.06472837209302325,0.03883702325581395
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.09677529987607507,0.3394214727548061,0.12467000862299146,0.10294280048662074
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.04354644763340415,0.16666666666666666,0.05370525210084034,0.030344581932773108
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.06663631278081794,0.6666666666666666,0.30273372266117027,0.2681212034810489
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.13840517303720767,0.42857142857142855,0.3576137299771167,0.2733274483218917
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.16957678014487446,0.23076923076923078,0.14775499999999997,0.093733303030303
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.17447963624434212,0.35294117647058826,0.1853705040242776,0.14491180525441633
Überholverbot,120.0,4.0,0.0,0.0,0.013451862602805998,0.0040355587808418
Überholverbot für LKW,120.0,16.0,0.13306245519684254,0.1875,0.10622919163507401,0.07611438732332851
Vorfahrt,120.0,3.0,0.0,0.0,0.0,0.0
Vorfahrtsstraße,120.0,13.0,0.13881853528813462,0.46153846153846156,0.39702406692406694,0.2358794408076908
Vorfahrt gewähren,120.0,11.0,0.18420939879273213,0.18181818181818182,0.24063472727272725,0.17861014545454545
Stopschild,120.0,7.0,0.09533300603259451,0.14285714285714285,0.03777095238095239,0.022662571428571435
Verbot für Fahrzeuge aller Art,120.0,1.0,0.0,0.0,0.03979999999999998,0.031839999999999986
Verbot der Einfahrt,120.0,5.0,0.0,0.0,0.0,0.0
Gefahrstelle,120.0,8.0,0.09208058491124005,0.125,0.032910006901311246,0.026328005521048997
Kurve links,120.0,1.0,0.0,0.0,0.0,0.0
Kurve rechts,120.0,1.0,0.0,0.0,0.0,0.0
Unebene Fahrbahn,120.0,3.0,0.0,0.0,0.0,0.0
Schleudergefahr,120.0,4.0,0.16868811313255758,0.5,0.13428571428571429,0.08073809523809523
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,0.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,0.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,0.0,0.0,0.06633333333333333,0.053066666666666665
Schnee- und Eisglätte,120.0,2.0,0.21058684744539274,1.0,0.4475,0.27990000000000004
Alle Streckenverbote aufgehoben,120.0,1.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,0.0,0.0,0.0,0.0
Überholverbot aufgehoben,120.0,1.0,0.06518733953374477,1.0,0.11055555555555555,0.08844444444444444
