,images,labels,p,r,map50,map
all,120.0,180.0,0.5522060063641641,0.5127216084948005,0.5017259186420461,0.3791835948653623
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.5257084393630578,1.0,0.995,0.8956
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.8043743724166177,0.6666666666666666,0.6723173913043479,0.613790347826087
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.28853794344708156,0.5833333333333334,0.5379520765383781,0.4607403970428356
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.24791519297942557,0.5,0.3300223285486443,0.23947007719298244
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.378938639361756,0.3333333333333333,0.34156732673267326,0.3243247722772277
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.0,0.0,0.02131131436314363,0.019180182926829267
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.463501476159704,0.15384615384615385,0.23618961291413115,0.20843497840400524
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.40743199189234724,0.29411764705882354,0.40044230769230765,0.32526994322344327
Überholverbot,120.0,4.0,0.5108784410415469,0.5,0.4998571428571428,0.3493761904761904
Überholverbot für LKW,120.0,16.0,0.8541194434364311,0.375,0.48958874458874463,0.3971809870129871
Vorfahrt,120.0,3.0,0.5490799639684607,0.3333333333333333,0.33925192307692303,0.2035511538461538
Vorfahrtsstraße,120.0,13.0,1.0,0.6881746491952687,0.7096250000000001,0.5838039614695341
Vorfahrt gewähren,120.0,11.0,0.7038522518558816,0.2727272727272727,0.2862921875,0.23668859375
Stopschild,120.0,7.0,0.9177653623385565,0.8571428571428571,0.8603132530120481,0.6205905682730923
Verbot für Fahrzeuge aller Art,120.0,1.0,0.8165098031714741,1.0,0.995,0.8955
Verbot der Einfahrt,120.0,5.0,0.7033349476712233,0.4,0.5025925925925927,0.26595679012345685
Gefahrstelle,120.0,8.0,0.8211026206025103,0.5,0.5711587301587302,0.5080104988662132
Kurve links,120.0,1.0,0.6862403744551929,1.0,0.995,0.6965
Kurve rechts,120.0,1.0,0.16163655492374215,1.0,0.33166666666666667,0.199
Unebene Fahrbahn,120.0,3.0,0.6218126700161563,0.6666666666666666,0.6691555555555555,0.6691555555555555
Schleudergefahr,120.0,4.0,0.6498037877575831,0.9367642040909367,0.8283333333333331,0.5486883116883117
Baustelle,120.0,2.0,0.16721558230311162,0.5,0.3475,0.2641825842696629
Lichtzeichenanlage,120.0,2.0,0.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,0.6004370411830023,0.5,0.5719230769230769,0.34315384615384614
spielende Kinder,120.0,1.0,1.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.0,0.0,0.08131578947368419,0.05692105263157894
Alle Streckenverbote aufgehoben,120.0,1.0,0.996287163200014,1.0,0.995,0.398
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.571912147004854,0.5,0.5719230769230769,0.46168168016194333
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.5510673819831646,0.8,0.7998275862068968,0.6300517241379312
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.6388056853899773,0.5,0.49839999999999995,0.34887999999999997
Rechts vorbei,120.0,7.0,0.5929669026404576,0.5714285714285714,0.5851542168674698,0.43205802811244975
Überholverbot aufgehoben,120.0,1.0,0.5437680358182451,1.0,0.995,0.6965
