,images,labels,p,r,map50,map
all,120.0,180.0,0.7820681673042019,0.7286057297506173,0.8086354968442419,0.6792075421194033
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,1.0,0.8753967783573047,0.995,0.8955
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.7203244986620302,0.8333333333333334,0.7882302405498284,0.6925381258102353
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.5001323162242702,0.4166666666666667,0.6910287267080746,0.5861474092849099
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,1.0,0.7478440047510733,0.8883333333333333,0.7310200641025641
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.35333221811209237,0.8333333333333334,0.8373050847457627,0.7762826553672316
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.4998286127318385,0.9993634187182573,0.6234444444444445,0.5245494660894661
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.36350544383479005,0.5071234407000558,0.3781304226401042
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.790496796008607,0.2930719938593954,0.46050045898905384,0.3654293747328555
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.743889024590779,0.8235294117647058,0.8456365951701493,0.7006651682524339
Überholverbot,120.0,4.0,0.6940257303388897,1.0,0.895,0.6616497005988025
Überholverbot für LKW,120.0,16.0,0.9560365550153452,0.9375,0.9855263157894738,0.8008996281532234
Vorfahrt,120.0,3.0,1.0,0.5096359517412148,0.9125000000000002,0.7470196341463416
Vorfahrtsstraße,120.0,13.0,1.0,0.8448643865310532,0.9795128205128205,0.7427487424544267
Vorfahrt gewähren,120.0,11.0,0.9843937761588791,1.0,0.995,0.8176652890173411
Stopschild,120.0,7.0,0.9493008336149978,1.0,0.995,0.8531195068493151
Verbot für Fahrzeuge aller Art,120.0,1.0,0.7550993984115003,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,0.8226078537553948,0.9356471225323684,0.9616666666666666,0.8126631944444445
Gefahrstelle,120.0,8.0,0.7767321656210545,0.8702947452947453,0.9146825396825395,0.8137508009768007
Kurve links,120.0,1.0,1.0,0.0,0.199,0.1592
Kurve rechts,120.0,1.0,0.23502325552685266,1.0,0.995,0.597
Unebene Fahrbahn,120.0,3.0,0.822805935519872,1.0,0.995,0.929231923076923
Schleudergefahr,120.0,4.0,0.7063283063283063,0.5,0.7172222222222222,0.5906367521367522
Baustelle,120.0,2.0,0.25924809786312136,0.5,0.30013157894736836,0.24287828947368414
Lichtzeichenanlage,120.0,2.0,0.7696702560895708,0.5,0.8283333333333331,0.712342528735632
Fußgängerüberweg,120.0,2.0,0.8578766947149205,0.5,0.8283333333333331,0.7454999999999998
spielende Kinder,120.0,1.0,0.6288915596051067,1.0,0.995,0.8955
Schnee- und Eisglätte,120.0,2.0,1.0,0.586400589778968,0.995,0.8955
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.6501309366238276,1.0,0.995,0.8517474999999999
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.9715606695804716,0.5,0.5859090909090907,0.4241603362391032
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.8051245455346783,0.8307472732080694,0.9616666666666666,0.8061764705882352
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.747373521418954,0.995,0.746188888888889
Rechts vorbei,120.0,7.0,0.8516335203518404,0.8240868363967567,0.8375199999999999,0.70671456
Überholverbot aufgehoben,120.0,1.0,0.48582413135861885,1.0,0.995,0.8955
