,images,labels,p,r,map50,map
all,120.0,180.0,0.058823529411764705,0.008726567550096962,0.033774286987522294,0.02217631016042781
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.0,0.0,0.0,0.0
Überholverbot,120.0,4.0,0.0,0.0,0.0,0.0
Überholverbot für LKW,120.0,16.0,0.0,0.0,0.0,0.0
Vorfahrt,120.0,3.0,0.0,0.0,0.0,0.0
Vorfahrtsstraße,120.0,13.0,1.0,0.15384615384615385,0.5769090909090909,0.41114454545454543
Vorfahrt gewähren,120.0,11.0,0.0,0.0,0.0,0.0
Stopschild,120.0,7.0,1.0,0.14285714285714285,0.5714166666666669,0.34285000000000015
Verbot für Fahrzeuge aller Art,120.0,1.0,0.0,0.0,0.0,0.0
Verbot der Einfahrt,120.0,5.0,0.0,0.0,0.0,0.0
Gefahrstelle,120.0,8.0,0.0,0.0,0.0,0.0
Kurve links,120.0,1.0,0.0,0.0,0.0,0.0
Kurve rechts,120.0,1.0,0.0,0.0,0.0,0.0
Unebene Fahrbahn,120.0,3.0,0.0,0.0,0.0,0.0
Schleudergefahr,120.0,4.0,0.0,0.0,0.0,0.0
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,0.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,0.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,0.0,0.0,0.0,0.0
Schnee- und Eisglätte,120.0,2.0,0.0,0.0,0.0,0.0
Alle Streckenverbote aufgehoben,120.0,1.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.0,0.0,0.0,0.0
Rechts vorbei,120.0,7.0,0.0,0.0,0.0,0.0
Überholverbot aufgehoben,120.0,1.0,0.0,0.0,0.0,0.0
