,images,labels,p,r,map50,map
all,120.0,180.0,0.9009348339888354,0.6520297745356833,0.7112707618778585,0.5848986074214254
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.9534677967053824,0.5,0.49714285714285716,0.4474285714285714
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.9821363216471725,0.6666666666666666,0.6699138686131387,0.5859894890510949
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,1.0,0.4283313663457697,0.5869325760649088,0.49401637780880375
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.9837747848324263,0.6666666666666666,0.6703428571428574,0.5949634285714287
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.6478517991675886,0.6666666666666666,0.7740067567567568,0.6861439189189189
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,0.9892643691470179,0.7142857142857143,0.7202629629629629,0.6382755308641974
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.6984020912592341,0.7136380886380886,0.7750000000000001,0.6317728192640695
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.8295627300423464,0.5882352941176471,0.7708477928720898,0.6575666462553402
Überholverbot,120.0,4.0,0.9567549030511993,1.0,0.995,0.6844048387096775
Überholverbot für LKW,120.0,16.0,0.9941384114316445,0.8125,0.823349295774648,0.7017159839034206
Vorfahrt,120.0,3.0,0.9565184231850898,0.6666666666666666,0.6674215827338132,0.5679144604316549
Vorfahrtsstraße,120.0,13.0,0.9938838655994761,0.7692307692307693,0.7722926829268293,0.679197922667441
Vorfahrt gewähren,120.0,11.0,0.9940596768921357,0.7272727272727273,0.7322470588235295,0.6417927450980393
Stopschild,120.0,7.0,0.9883115980459137,1.0,0.995,0.897305820610687
Verbot für Fahrzeuge aller Art,120.0,1.0,0.9465646279682103,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,1.0,0.7427838094504762,0.995,0.6541439393939392
Gefahrstelle,120.0,8.0,1.0,0.63900853807856,0.8134666666666667,0.7439041058201059
Kurve links,120.0,1.0,0.9430604660489718,1.0,0.995,0.796
Kurve rechts,120.0,1.0,0.4831021040234092,1.0,0.995,0.796
Unebene Fahrbahn,120.0,3.0,0.7966228639987505,0.3333333333333333,0.33765320000000004,0.33765320000000004
Schleudergefahr,120.0,4.0,0.9996838471490782,0.5,0.4991129032258064,0.31202419354838706
Baustelle,120.0,2.0,1.0,0.5502087714407692,0.995,0.796
Lichtzeichenanlage,120.0,2.0,0.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.10138317757009346,0.09124485981308413
spielende Kinder,120.0,1.0,0.9969376446001303,1.0,0.995,0.6965
Schnee- und Eisglätte,120.0,2.0,0.9439851443211376,1.0,0.995,0.8955
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.6839285604623028,0.7357142418492112,0.7462500000000002,0.4313163283208021
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.9660315267344021,0.5,0.606111111111111,0.49630692167577417
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.9910941869704756,1.0,0.995,0.7763360655737706
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.6763744420749253,0.995,0.7460884615384615
Rechts vorbei,120.0,7.0,0.965870558058058,0.5714285714285714,0.6794685534591194,0.5185460230607967
Überholverbot aufgehoben,120.0,1.0,0.9467760542788538,1.0,0.995,0.8955
