,images,labels,p,r,map50,map
all,120.0,180.0,0.7722391310028578,0.2713200436559472,0.31841966746066586,0.23594537665049836
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,1.0,0.46443874077122804,0.7853678160919542,0.7097761839080461
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,0.22622557872204122,0.3333333333333333,0.28592857142857153,0.2430570180623975
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.6291792687141524,0.16666666666666666,0.18615357142857142,0.1573787142857143
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.6271378617223121,0.3333333333333333,0.28517147766323026,0.21031076975945018
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,1.0,0.0,0.27019799465240646,0.22588643731431973
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.0,0.0,0.0
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.6909072078126621,0.07692307692307693,0.1925309433962264,0.15639918867924527
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.6786313635807985,0.058823529411764705,0.10168518853695324,0.08300806336861667
Überholverbot,120.0,4.0,0.6044974219502521,0.75,0.749020618556701,0.557840206185567
Überholverbot für LKW,120.0,16.0,0.6732076813021164,0.0625,0.07451510204081632,0.06706359183673469
Vorfahrt,120.0,3.0,0.6853538922504441,0.3333333333333333,0.34205638297872343,0.2394394680851064
Vorfahrtsstraße,120.0,13.0,0.9474064306972243,0.7692307692307693,0.7833999999999999,0.5945110095238094
Vorfahrt gewähren,120.0,11.0,0.7913481703379985,0.2727272727272727,0.29277131147540986,0.23860155737704916
Stopschild,120.0,7.0,0.8257980774852025,0.2857142857142857,0.2982533333333333,0.18128530864197528
Verbot für Fahrzeuge aller Art,120.0,1.0,1.0,0.0,0.0,0.0
Verbot der Einfahrt,120.0,5.0,1.0,0.0,0.0,0.0
Gefahrstelle,120.0,8.0,0.8355529107198287,0.375,0.47258620689655173,0.4038793103448276
Kurve links,120.0,1.0,1.0,0.0,0.07653846153846157,0.030615384615384628
Kurve rechts,120.0,1.0,0.0,0.0,0.0,0.0
Unebene Fahrbahn,120.0,3.0,0.4574470674707922,0.3333333333333333,0.5063509433962265,0.4140815094339624
Schleudergefahr,120.0,4.0,1.0,0.0,0.5029687499999999,0.3520781249999999
Baustelle,120.0,2.0,0.0,0.0,0.0,0.0
Lichtzeichenanlage,120.0,2.0,1.0,0.0,0.0,0.0
Fußgängerüberweg,120.0,2.0,1.0,0.0,0.0,0.0
spielende Kinder,120.0,1.0,0.9196738271693423,1.0,0.995,0.597
Schnee- und Eisglätte,120.0,2.0,1.0,0.0,0.0,0.0
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.7404561013240114,0.6666666666666666,0.6732097560975611,0.5055557317073172
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.6613674482370961,0.5,0.5006666666666666,0.30039999999999994
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.8437029795256167,0.8,0.80375,0.58496875
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,0.721651505777358,0.5,0.5000999999999998,0.3500699999999998
Rechts vorbei,120.0,7.0,0.6967580858455948,0.14285714285714285,0.15304559748427674,0.12243647798742138
Überholverbot aufgehoben,120.0,1.0,0.9998275734523188,1.0,0.995,0.6965
