,images,labels,p,r,map50,map
all,120.0,180.0,0.922938803614663,0.8053371668157137,0.8862903894759446,0.7159255622690743
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.9999986403978667,1.0,0.995,0.8209211409395973
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,1.0,0.8303101080878861,0.995,0.8501038666666666
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,1.0,0.7092618544470397,0.9043283582089551,0.7504703564830669
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.9925335922960625,1.0,0.995,0.7568298181818183
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.8253912642801531,1.0,0.9721428571428571,0.8896085090999751
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,1.0,0.7274322934045157,0.9638888888888889,0.8004145424836601
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.3795313419268852,0.7476530612244897,0.5481156462585034
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.7361822606920646,0.46153846153846156,0.7350182238988207,0.5653393682456278
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.7157317708522957,0.7647058823529411,0.790318257737878,0.6506230030657583
Überholverbot,120.0,4.0,0.9170630967505967,0.75,0.8878571428571426,0.5976157442034404
Überholverbot für LKW,120.0,16.0,0.9948408460006397,0.9375,0.9855263157894738,0.7720257284454075
Vorfahrt,120.0,3.0,0.9711491152169118,1.0,0.995,0.8073676666666667
Vorfahrtsstraße,120.0,13.0,1.0,0.9598203254919674,0.995,0.7942330034232782
Vorfahrt gewähren,120.0,11.0,0.996621206317745,1.0,0.995,0.7984335364906832
Stopschild,120.0,7.0,0.998852322021888,1.0,0.995,0.9030604999999999
Verbot für Fahrzeuge aller Art,120.0,1.0,0.9454382612277349,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,0.976056348319122,0.8,0.797608695652174,0.5784109730848861
Gefahrstelle,120.0,8.0,0.9867009890645864,0.75,0.91875,0.8113545261437908
Kurve links,120.0,1.0,0.9453352542213962,1.0,0.995,0.796
Kurve rechts,120.0,1.0,0.40772030972317086,1.0,0.995,0.796
Unebene Fahrbahn,120.0,3.0,0.8521234649283428,1.0,0.995,0.8955
Schleudergefahr,120.0,4.0,0.9771240658858759,0.75,0.945,0.7314811320754717
Baustelle,120.0,2.0,0.9548115077777599,0.5,0.8283333333333331,0.596349315068493
Lichtzeichenanlage,120.0,2.0,0.6525128714102969,1.0,0.6633333333333333,0.5472994791666667
Fußgängerüberweg,120.0,2.0,0.9705393627890558,0.5,0.5426190476190477,0.5288836930455636
spielende Kinder,120.0,1.0,0.991163096497789,1.0,0.995,0.6965
Schnee- und Eisglätte,120.0,2.0,0.9422924103184888,1.0,0.995,0.8955
Alle Streckenverbote aufgehoben,120.0,1.0,1.0,0.0,0.0,0.0
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.7486849823584517,1.0,0.995,0.8626956976744186
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.959557515898309,0.5,0.606111111111111,0.4356319444444444
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,1.0,0.6376443859589928,0.995,0.7566249999999999
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.5665761613827143,0.995,0.6961296296296295
Rechts vorbei,120.0,7.0,0.9999982711554386,0.8571428571428571,0.9303846153846155,0.7204452961610086
Überholverbot aufgehoben,120.0,1.0,0.9214964964964965,1.0,0.995,0.6965
