,images,labels,p,r,map50,map
all,120.0,180.0,0.9248174359188357,0.8945955819572358,0.9428362274740711,0.8011508703057291
Geschwindigkeitsbegrenzung 20 km/h,120.0,2.0,0.9884695145237528,1.0,0.995,0.8955
Geschwindigkeitsbegrenzung 30 km/h,120.0,6.0,0.9877867983142034,1.0,0.995,0.8882448023952098
Geschwindigkeitsbegrenzung 50 km/h,120.0,12.0,1.0,0.7603371844751156,0.9441929824561403,0.8075242103445142
Geschwindigkeitsbegrenzung 60 km/h,120.0,6.0,0.9887516615748806,1.0,0.995,0.8292674968553457
Geschwindigkeitsbegrenzung 70 km/h,120.0,6.0,0.7370912579245913,1.0,0.995,0.9708780656303972
Geschwindigkeitsbegrenzung 80 km/h,120.0,7.0,1.0,0.9079090383438209,0.995,0.8883232571428572
Geschwindigkeitsbegrenzung aufgehoben,120.0,4.0,1.0,0.5983125983125983,0.995,0.7794871794871795
Geschwindigkeitsbegrenzung 100 km/h,120.0,13.0,0.7697605807361906,0.7717032229227352,0.8909177489177487,0.728774821067821
Geschwindigkeitsbegrenzung 120 km/h,120.0,17.0,0.7524802560289148,0.7647058823529411,0.8575170811759049,0.7248131121978573
Überholverbot,120.0,4.0,0.9573953953953954,1.0,0.995,0.6841586294416243
Überholverbot für LKW,120.0,16.0,0.9952630857371858,1.0,0.995,0.8558689285714285
Vorfahrt,120.0,3.0,0.9693788908252748,1.0,0.995,0.8192441666666668
Vorfahrtsstraße,120.0,13.0,0.995525307952718,1.0,0.995,0.8612345373134328
Vorfahrt gewähren,120.0,11.0,0.9958916359802296,1.0,0.995,0.8773059493045026
Stopschild,120.0,7.0,0.9885540155021404,1.0,0.995,0.8970182291666667
Verbot für Fahrzeuge aller Art,120.0,1.0,0.9481455290201721,1.0,0.995,0.9949999999999999
Verbot der Einfahrt,120.0,5.0,0.9226409101409101,0.8,0.9616666666666666,0.8359909638554216
Gefahrstelle,120.0,8.0,1.0,0.7638194518197429,0.9314705882352943,0.8754286710239653
Kurve links,120.0,1.0,0.9442572698450227,1.0,0.995,0.796
Kurve rechts,120.0,1.0,0.48388907141306375,1.0,0.995,0.796
Unebene Fahrbahn,120.0,3.0,0.87839410090719,1.0,0.995,0.9292047222222223
Schleudergefahr,120.0,4.0,0.9966206082673496,1.0,0.995,0.7898687499999999
Baustelle,120.0,2.0,1.0,0.5478779589734151,0.995,0.796
Lichtzeichenanlage,120.0,2.0,0.6421389089347745,1.0,0.6633333333333333,0.555546768707483
Fußgängerüberweg,120.0,2.0,0.9661495077538924,0.5,0.6199999999999999,0.6076770833333333
spielende Kinder,120.0,1.0,0.9993590228884347,1.0,0.995,0.6965
Schnee- und Eisglätte,120.0,2.0,0.94575271872796,1.0,0.995,0.8955
Alle Streckenverbote aufgehoben,120.0,1.0,0.9846524310952478,1.0,0.995,0.796
Vorgeschriebene Fahrtrichtung rechts,120.0,3.0,0.7240077757026909,1.0,0.8300000000000002,0.7197027710843374
Vorgeschriebene Fahrtrichtung links,120.0,2.0,0.9685880147663587,0.5,0.6199999999999999,0.5087105263157893
Vorgeschriebene Fahrtrichtung geradeaus,120.0,5.0,0.9923373950056789,1.0,0.995,0.7761415094339622
Vorgeschriebene Fahrtrichtung geradeaus oder rechts,120.0,2.0,1.0,0.6444415922027862,0.995,0.7459636363636364
Rechts vorbei,120.0,7.0,0.9872631658345944,0.8571428571428571,0.8573333333333332,0.7207508024691357
Überholverbot aufgehoben,120.0,1.0,0.9332479904415961,1.0,0.995,0.8955
